ebsd_1,ebsd_2
1,
2,
3,1
4,18
5,
6,2
7,4
8,3
9,
10,5
11,
12,
13,6
14,
15,
16,7
17,20
18,10
19,
20,9
21,14
22,11
23,
24,12
25,15
26,13
27,
28,16
29,
30,8
31,
32,
33,19
34,
35,21
36,17
37,22
38,23
39,24
40,25
41,
42,26
43,
44,27
45,28
46,29
47,30
